TRINITY_DN21634_c0_g1	TRINITY_DN21634_c0_g1_i5	.	.	TRINITY_DN21634_c0_g1_i5.p1	117-434[+]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN33076_c0_g1	TRINITY_DN33076_c0_g1_i1	YUQP_CAEEL^YUQP_CAEEL^Q:8-1180,H:1-401^53.616%ID^E:2.32e-160^RecName: Full=CRAL-TRIO domain-containing protein F28H7.8;^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis	.	TRINITY_DN33076_c0_g1_i1.p1	2-1204[+]	YUQP_CAEEL^YUQP_CAEEL^Q:3-393,H:1-401^53.616%ID^E:6.26e-163^RecName: Full=CRAL-TRIO domain-containing protein F28H7.8;^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis	PF00650.19^CRAL_TRIO^CRAL/TRIO domain^94-246^E:2.7e-22	.	.	ENOG410XRSQ^Transfer protein	KEGG:cel:CELE_F28H7.8	.	.	.	.
TRINITY_DN33076_c0_g1	TRINITY_DN33076_c0_g1_i1	YUQP_CAEEL^YUQP_CAEEL^Q:8-1180,H:1-401^53.616%ID^E:2.32e-160^RecName: Full=CRAL-TRIO domain-containing protein F28H7.8;^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis	.	TRINITY_DN33076_c0_g1_i1.p2	918-1121[+]	.	.	.	ExpAA=23.31^PredHel=1^Topology=o33-55i	.	.	.	.	.	.
TRINITY_DN33076_c0_g1	TRINITY_DN33076_c0_g1_i1	YUQP_CAEEL^YUQP_CAEEL^Q:8-1180,H:1-401^53.616%ID^E:2.32e-160^RecName: Full=CRAL-TRIO domain-containing protein F28H7.8;^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis	.	TRINITY_DN33076_c0_g1_i1.p3	550-347[-]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN3888_c0_g1	TRINITY_DN3888_c0_g1_i3	SDHA_CAEEL^SDHA_CAEEL^Q:17-1951,H:1-646^80.805%ID^E:0^RecName: Full=Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial;^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis	.	TRINITY_DN3888_c0_g1_i3.p1	17-1954[+]	SDHA_CAEEL^SDHA_CAEEL^Q:1-645,H:1-646^80.805%ID^E:0^RecName: Full=Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial;^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis	PF00890.23^FAD_binding_2^FAD binding domain^43-438^E:8.8e-125`PF02910.19^Succ_DH_flav_C^Fumarate reductase flavoprotein C-term^493-645^E:7.6e-43	.	.	COG1053^Succinate DeHydrogenase	KEGG:cel:CELE_C03G5.1`KO:K00234	GO:0005749^cellular_component^mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)`GO:0005739^cellular_component^mitochondrion`GO:0009055^molecular_function^electron transfer activity`GO:0050660^molecular_function^flavin adenine dinucleotide binding`GO:0008177^molecular_function^succinate dehydrogenase (ubiquinone) activity`GO:0009061^biological_process^anaerobic respiration`GO:0006121^biological_process^mitochondrial electron transport, succinate to ubiquinone`GO:0006099^biological_process^tricarboxylic acid cycle	GO:0016491^molecular_function^oxidoreductase activity`GO:0055114^biological_process^oxidation-reduction process	.	.
TRINITY_DN3888_c0_g1	TRINITY_DN3888_c0_g1_i3	SDHA_CAEEL^SDHA_CAEEL^Q:17-1951,H:1-646^80.805%ID^E:0^RecName: Full=Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial;^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis	.	TRINITY_DN3888_c0_g1_i3.p2	562-209[-]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN3888_c0_g1	TRINITY_DN3888_c0_g1_i3	SDHA_CAEEL^SDHA_CAEEL^Q:17-1951,H:1-646^80.805%ID^E:0^RecName: Full=Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial;^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis	.	TRINITY_DN3888_c0_g1_i3.p3	1419-1676[+]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN3888_c0_g1	TRINITY_DN3888_c0_g1_i3	SDHA_CAEEL^SDHA_CAEEL^Q:17-1951,H:1-646^80.805%ID^E:0^RecName: Full=Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial;^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis	.	TRINITY_DN3888_c0_g1_i3.p4	678-914[+]	.	.	.	ExpAA=27.42^PredHel=1^Topology=i28-50o	.	.	.	.	.	.
TRINITY_DN3888_c0_g1	TRINITY_DN3888_c0_g1_i3	SDHA_CAEEL^SDHA_CAEEL^Q:17-1951,H:1-646^80.805%ID^E:0^RecName: Full=Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial;^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis	.	TRINITY_DN3888_c0_g1_i3.p5	1515-1288[-]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN3888_c0_g1	TRINITY_DN3888_c0_g1_i3	SDHA_CAEEL^SDHA_CAEEL^Q:17-1951,H:1-646^80.805%ID^E:0^RecName: Full=Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial;^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis	.	TRINITY_DN3888_c0_g1_i3.p6	423-629[+]	.	.	.	ExpAA=19.25^PredHel=1^Topology=o43-65i	.	.	.	.	.	.
